leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
d9fe77e7-b007-410c-9f7d-bd989f918dfc,RANKED_SOLO_5x5,GOLD,I,Ma4WZxynGgjn9PPwh2LEZEWKGgfs-Rw04PpYTQ5qhnenc7aU,75,11,8,False,False,False,False
671484e2-01cc-4460-810b-81905826839e,RANKED_SOLO_5x5,GOLD,I,EPuHAhzss9EEGLWXVoy5Eef2UEr3dvlI7378h2EZaI74YWjT,4,42,30,False,False,False,True
ea5521cd-b840-4383-b6ce-5c0c2733aeef,RANKED_SOLO_5x5,GOLD,I,e2410o7-07N5P7TPfaSdRIr88CbAwnj1AHfngA5oy9bnObsY,93,93,72,False,False,True,False
1fc92c57-5978-4c5b-8737-48962620b8d6,RANKED_SOLO_5x5,GOLD,I,hF4COT7wuBK3OqYjRzAR4LtgVzxZ6AzDgbdWvjgko-lVNW9F,55,7,1,False,False,False,True
099ceaeb-305f-4a5c-aa00-b65eab8fa1cb,RANKED_SOLO_5x5,GOLD,I,nXJFi1Hqpq9JiaAkDCkvEt5G2Wim9v617Z3s7YRy-QxmA-eI,40,3,5,False,False,False,False
a2a9d91c-68c3-4e62-8c5c-cd59344864bd,RANKED_SOLO_5x5,GOLD,I,2f7tgvuOrByf_qNUp8T3ipHm8KxCmX2xuV3azqqLyM28cNcc,67,22,17,False,False,False,False
1f1c5d7e-3fed-4f12-bd64-9119c17449f0,RANKED_SOLO_5x5,GOLD,I,2tuwAdEX_AWw3818FIcNQw1c69Hsxwi_JbxgvyF_QuwgmQEU,52,14,15,False,False,False,True
0acda778-ea01-4ba6-aea0-c889aac46cf0,RANKED_SOLO_5x5,GOLD,I,yUaXJfkjsJvlJySyT8HH4XX74kWRK9jvhG4t8RJVclCihaiG,63,8,6,False,False,False,True
5f8b6469-c100-4076-9bcd-897a6a582e68,RANKED_SOLO_5x5,GOLD,I,Vv1X9qHZutwJfv1Ol8XnokopHELJMkLA2wp0EGhYM6kT-acx,22,48,26,False,False,False,True
3a66a8ea-f223-4dc4-b51c-ce16f3a97129,RANKED_SOLO_5x5,GOLD,I,G9uqTyk76CVjhXC-C8ZspgG1sSDVkLAZATfeBw3NkNFDtL1U,71,20,19,False,False,False,False
