leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,id,accountId,puuid,profileIconId,revisionDate,summonerLevel
ff7340c4-38c8-472c-a2c7-f3350efd4104,RANKED_SOLO_5x5,GOLD,I,zCt7HJACzs9xnjVhk8fBhj1OurnGbqccv4X4uLfaBz1BDzUx,82,3,3,False,False,False,False,zCt7HJACzs9xnjVhk8fBhj1OurnGbqccv4X4uLfaBz1BDzUx,bvh4GtqUlr6K4Htg9wFHg2yEvorQ3oT6QBNibiW1NcoOPYX2-MIcal2l,UljfKrxrlAzF31DSqbSjfnK_VxIGSVjks7p-ZlY_A1kCCQDR4HneQaITy6-8ufxu-UCzuOfa8m41EA,4363,1731849624000,94
fffd266d-8bc2-400f-a0c0-c41def20375b,RANKED_SOLO_5x5,GOLD,I,efDmpZ9pjp639ijKABcTLRg9APTI1ADy2Ese_WmMdA0OAOUg,37,16,23,False,False,False,False,efDmpZ9pjp639ijKABcTLRg9APTI1ADy2Ese_WmMdA0OAOUg,OkU0Men9m2h_BnldhthRyd1EHQKcEN1zvCqxqYDW9KbxA_aK9D3wbWDB,DCqQxuS9em7zK0LBaGdFgrdcooMStuKJS3S1Uuv_x0nRHbU4nIBXcyfAuRHJW8YaD18SbltpTl9fIA,29,1731849529000,145
29ae46e3-bc08-41b4-af45-334b4344612f,RANKED_SOLO_5x5,GOLD,I,9fAOmXZvikbkPH9Jwc9HU8lHq9yjdEX49yc2VAbhE_7w0F0h,40,21,28,False,False,False,False,9fAOmXZvikbkPH9Jwc9HU8lHq9yjdEX49yc2VAbhE_7w0F0h,AOHbeMW84JqHRQ01HUt1tTBC2Fv9v_YsnxwcMeKCVg3pnnZfdg1stxVV,G-IgJEzkBxCEUsbxv_CeTLfZoNDBVofeJtjvS7TII95B2PsspIeKrGTZgK9QMvNwsNtgufwzFBKFLA,3787,1732417593000,113
ecb4a81a-8502-4892-8a9b-5a5f6197c51f,RANKED_SOLO_5x5,GOLD,I,AQBTvIcyIHtoxyFJaQr_o_ZMDTWPf1nW-Nb0KI_OKpNPmDw0,33,2,3,False,False,False,False,AQBTvIcyIHtoxyFJaQr_o_ZMDTWPf1nW-Nb0KI_OKpNPmDw0,cPRL3rkHjEyvGViMUvRRK4JDUSZ2rlaRiag7wCCx44xaEQgiyGvPBtc4,6Q7pwbAUEOSDEtPC4e_g35acwo3snT_EXdGLEygjcFj35b2o4nu01PCI25cfdx8RUxwRtE4M2nVpZQ,5922,1733644582000,192
57f88e7e-e4f2-43c9-b5a2-ae05225b80e8,RANKED_SOLO_5x5,GOLD,I,moZabd2EHfu0UwweSsTOMaOMQOCcYdKqI9u7jQCHgLl3a4-D,97,82,82,False,False,True,False,moZabd2EHfu0UwweSsTOMaOMQOCcYdKqI9u7jQCHgLl3a4-D,IOg4WarmMSQBFkukZ_8LMOVp-N-P86W5ld2azza09Kt-MiFVLIxW_Pot,h5WhDEfupIoEmapa_de63ixpXS8RaPCdSEHSrQeZcj2YUgGcvq3kB1cEVaKaiTF_al-8ZZOcMn3_-A,6737,1733639045000,185
8b646449-e750-401b-8bff-c0dbd04fd1af,RANKED_SOLO_5x5,GOLD,I,5BQjXOJO96cvKijyRhDWR7MBx4K_kZ21CH2rizrinKKjXCCB,5,31,16,False,False,False,False,5BQjXOJO96cvKijyRhDWR7MBx4K_kZ21CH2rizrinKKjXCCB,7mrJn4NGnFq_o4B_Yi2iitlD_fjda3GEIRpfTZpaMenxo0YB0bBgzPEb,w9dEkd8FLK48q7w7Skl1fbj3OMeC7D1XmSBfNhURsCJFUCEcDA-lH5f5dGQSeLpTd85j5M7pbbyXEQ,6298,1733720538021,162
fbc45ea7-2bfa-43bc-8a88-da340516d9ca,RANKED_SOLO_5x5,GOLD,I,qmDoG9HW7ajg_6NNp_iRaLT6AOiX95KERD1yIrAby70oJezx,7,11,7,False,False,False,False,qmDoG9HW7ajg_6NNp_iRaLT6AOiX95KERD1yIrAby70oJezx,du34SaoW9lc9v-8X3Q9FpCQx-80OhlyQRyzcNjei61I6y_vmPcRX-ajU,Q9IL56InnqFbTbrv-KT-qDpgCVbNHX-XXQGYjXY2T9XI_Myf1DBR_uYDY5lv4iAOQffdHq7wxvaX-w,5430,1732603296000,72
5de74513-0448-4b65-a665-e904f2aeb08f,RANKED_SOLO_5x5,GOLD,I,NudbIBDpCtDyietP4HRhyH__VAhTMCPH2G9J6HWHKAhNrZ_N,32,27,23,False,False,False,True,NudbIBDpCtDyietP4HRhyH__VAhTMCPH2G9J6HWHKAhNrZ_N,yD8qgJRdnDF1lWvNkW8HIm_UqYWkGzjZ-_QmQ-eTsdTEmRslq_KOA3h0,8knhL3Vyrn7rT0lTi2KZW51OQzmE3coKn-8R82D3Q5smqANsNh-uRv2-9Nbyp2mFuOWUt6h6AXb-mg,6694,1733700874593,225
b33d30d2-161d-4c84-ab93-8208b938f76d,RANKED_SOLO_5x5,GOLD,I,0CYhaW6-jsANPcGcIW5DSXNVfjOrLYvZQtOgtGnay_f0YCZf,3,21,21,False,False,False,False,0CYhaW6-jsANPcGcIW5DSXNVfjOrLYvZQtOgtGnay_f0YCZf,5YdfMSzZZGT90k3o_pVqxmuSXodEhphT10YeHa_hcSstorqetmzxhuDJ,Xmq7q0KPRUc6fQ2Tea6LTyt48dO7-Bvt1JeW2MjQ8RNaebfY2mOMGn_jJdqvrfRU-m0RN5GzBYN_1g,15,1733701902228,322
c50d886d-47ef-4375-ab44-2978bc15499b,RANKED_SOLO_5x5,GOLD,I,PIMO00ky3V9uKk7yJopeEHZiEn-L5HldhAMdhIQuRyu5-e-j,19,6,0,False,False,False,True,PIMO00ky3V9uKk7yJopeEHZiEn-L5HldhAMdhIQuRyu5-e-j,8h-FmQl5hJK7jnmBgj4q7ak8IkLhVZ-6gYxxWOmXsM2VPiTE4DmiQErC,Mnbhz57cGiV-LV63XkrdjZpbVvPZOcBUwdIaU_9kfNxP4u3-otQJTZdwJ-7hrzFSzvZ5DP0nyv0EGg,4025,1732755009000,314
