match_id,blue_team_champs,red_team_champs,blue_win
NA1_5161062552,"Riven,Sejuani,Viktor,Caitlyn,Zyra","Renekton,Brand,Ahri,Smolder,Xerath",False
NA1_5135694916,"Nasus,Khazix,Malzahar,Kaisa,Senna","Sion,Vi,Diana,Caitlyn,Neeko",True
NA1_5163145151,"Urgot,Nunu,Leblanc,Caitlyn,Zyra","Irelia,Kayn,Orianna,Jhin,Milio",False
NA1_5166054345,"Quinn,Kayn,Akali,Varus,Zilean","TahmKench,Viego,Kayle,Jhin,Yuumi",False
NA1_5142193736,"Nasus,Teemo,Zed,Samira,Rell","Volibear,Rammus,Ahri,Kaisa,Lux",True
NA1_5150767086,"Nasus,Kayn,MissFortune,Brand,Galio","Renekton,Hecarim,Sylas,KogMaw,Janna",True
NA1_5163833707,"Kled,Ambessa,Akali,Jinx,Lux","Maokai,Graves,Leblanc,Jhin,Taric",True
NA1_5100138811,"Yasuo,Amumu,Zed,Cassiopeia,Senna","Illaoi,Khazix,TwistedFate,Jinx,Velkoz",True
NA1_5175848144,"Gnar,Graves,Galio,Chogath,Thresh","Jax,Shyvana,Viktor,Jinx,Swain",True
NA1_5136114686,"DrMundo,LeeSin,Katarina,Sivir,KSante","TahmKench,MasterYi,Veigar,Aphelios,Karma",True
NA1_5124817418,"Urgot,Lillia,AurelionSol,Caitlyn,Thresh","Volibear,Ekko,Viktor,Jhin,Bard",True
NA1_5172525437,"Ambessa,Volibear,Akshan,Akali,Yuumi","Jax,Warwick,Qiyana,Swain,Seraphine",True
NA1_5123191804,"Volibear,Nocturne,Lux,Jhin,Senna","Zed,Karthus,Diana,Jinx,Soraka",True
NA1_5177571261,"Teemo,Graves,Tristana,Zeri,Alistar","DrMundo,Briar,Hwei,Sivir,Smolder",False
NA1_5174201846,"Shen,Warwick,Leblanc,Varus,Janna","Volibear,Shaco,Anivia,Draven,Alistar",True
NA1_4906134141,"Fiora,Shaco,Swain,Ezreal,Nami","Pantheon,Graves,TwistedFate,Draven,Brand",False
NA1_5155623954,"Ambessa,Volibear,AurelionSol,Lucian,Morgana","Kayle,Vi,Veigar,Jinx,Thresh",False
NA1_5145248415,"Darius,Viego,Qiyana,Smolder,Senna","Teemo,Nocturne,Kassadin,Jinx,Thresh",True
NA1_5144484162,"Camille,Gragas,Neeko,Corki,Sylas","Jax,Nocturne,Galio,Draven,Pyke",True
NA1_5172748286,"Vayne,Viego,Sylas,Jinx,Rakan","Smolder,Kayn,Brand,Ashe,Lulu",True
NA1_5123728954,"Tryndamere,Nocturne,Veigar,Lucian,Blitzcrank","DrMundo,Teemo,TwistedFate,Kaisa,Lux",False
NA1_5032456957,"Darius,Kayn,Teemo,Corki,Karma","Yone,Lillia,Tristana,Xayah,Milio",True
NA1_5170682354,"Mordekaiser,Gragas,Zed,Jinx,Zyra","Ornn,Nocturne,Ekko,Jhin,Lux",False
NA1_5156813472,"Gwen,Lillia,Xayah,Jayce,Rakan","Maokai,Khazix,Zoe,Ashe,Blitzcrank",False
NA1_4882634198,"Darius,Briar,Kayle,Ezreal,Karma","Teemo,Diana,Xerath,Varus,Brand",True
NA1_5142481521,"Ornn,Qiyana,Yasuo,MissFortune,Sona","Jayce,Diana,Akali,Jhin,Janna",True
NA1_5165263242,"Yorick,LeeSin,Lissandra,Caitlyn,Lux","Sion,Ekko,Yasuo,Jhin,Poppy",True
NA1_5176048497,"Sion,Nunu,Hwei,Caitlyn,Lulu","Zac,LeeSin,Sylas,Nasus,Senna",True
NA1_5176102459,"Gwen,Kayn,TwistedFate,Ashe,Lux","DrMundo,Elise,Yasuo,MissFortune,Xerath",False
NA1_5011090205,"Vladimir,Gragas,Talon,Jinx,Soraka","Gangplank,Nidalee,Kennen,Ashe,Leona",False
NA1_5164256827,"Sett,Volibear,Azir,Kaisa,Yuumi","Renekton,Briar,Ahri,Draven,Maokai",False
NA1_4824627533,"Gangplank,Jax,Garen,Xayah,Nami","Maokai,Udyr,Yasuo,Tristana,Nautilus",True
NA1_5172854449,"Volibear,Diana,Talon,Yasuo,Sona","Garen,Khazix,Syndra,Kaisa,Yuumi",True
NA1_4946939185,"Udyr,Diana,Ahri,Caitlyn,Thresh","Garen,Warwick,Vladimir,Lucian,Nami",False
NA1_5158083637,"Mordekaiser,Nocturne,Leblanc,Jinx,Lulu","Nasus,Karthus,Naafiri,Aphelios,Sona",True
NA1_5173792280,"Pantheon,Darius,Yasuo,Jhin,Lux","Yorick,XinZhao,Vladimir,Jinx,Senna",True
NA1_5173037599,"Darius,Nocturne,Ambessa,Aphelios,Velkoz","Chogath,Nunu,Galio,Blitzcrank,Alistar",False
NA1_5171809143,"Akshan,Kayn,Malzahar,Varus,Leona","Teemo,Twitch,Lux,Xayah,Blitzcrank",True
NA1_5176837079,"Mordekaiser,Nunu,Diana,Corki,Teemo","Jayce,Ekko,Malzahar,Zeri,Lulu",True
NA1_5111591338,"Malphite,MasterYi,Vladimir,Sivir,Blitzcrank","Tryndamere,Kayn,Leblanc,Kaisa,Lulu",True
